conference	year	title	citationCount	
CHI	5	Experimental analysis of mode switching techniques in pen-based user interfaces	68	81350580013: Yang Li|81100519448: Ken Hinckley|81543102456: Zhiwei Guan|81100103519: James A. Landay|
CHI	5	Mediating intimacy: designing technologies to support strong-tie relationships	85	81100490463: Frank Vetere|81100536739: Martin R. Gibbs|81100515636: Jesper Kjeldskov|81100328802: Steve Howard|81100260236: Florian 'Floyd' Mueller|81100224964: Sonja Pedell|81100223171: Karen Mecoles|81100581975: Marcus Bunyan|
CHI	5	Toward subtle intimate interfaces for mobile devices using an EMG controller	20	81100088903: Enrico Costanza|81100662683: Samuel A. Inverso|81328487657: Rebecca Allen|
CHI	5	Emotions and heart rate while sitting on a chair	40	81384603768: Jenni Anttonen|81339531194: Veikko Surakka|
CHI	5	A visual recipe book for persons with language impairments	13	81539945456: Kimberly Tee|81100235288: Karyn Moffatt|81100170743: Leah Findlater|81100507080: Eve MacGregor|81100232506: Joanna McGrenere|81100323196: Barbara Purves|81327488395: Sidney S. Fels|
CHI	5	Participatory design of an orientation aid for amnesics	20	81100657783: Mike Wu|81100448368: Ron Baecker|81543129856: Brian Richards|
CHI	5	Digital Family Portrait Field Trial: Support for Aging in Place	78	81100302436: Jim Rowan|81100331104: Elizabeth D. Mynatt|
CHI	5	Livenotes: a system for cooperative and augmented note-taking in lectures	44	81100222950: Matthew Kam|81100233343: Jingtao Wang|81100098292: Alastair Iles|81100271605: Eric Tse|81328487987: Jane Chiu|81430599887: Daniel Glaser|81100424146: Orna Tarshish|81100415489: John Canny|
CHI	5	Stencils-based tutorials: design and evaluation	36	81100607695: Caitlin Kelleher|81100493478: Randy Pausch|
CHI	5	StudioBRIDGE: using group, location, and event information to bridge online and offline encounters for co-located learning groups	4	81100560047: Susan Yee|81100159425: Kat S. Park|
CHI	5	Calling while driving: effects of providing remote traffic context	8	81100156639: Mike Schneider|81100476487: Sara Kiesler|
CHI	5	Studying the effectiveness of MOVE: a contextually optimized in-vehicle navigation system	14	81452600527: Joonhwan Lee|81100492013: Jodi Forlizzi|81328488846: Scott E. Hudson|
CHI	5	Distract-R: rapid prototyping and evaluation of in-vehicle interfaces	10	81100289294: Dario D. Salvucci|81328491196: Mark Zuber|81100070891: Ekaterina Beregovaia|81100421673: Daniel Markley|
CHI	5	Paper windows: interaction techniques for digital paper	70	81328488680: David Holman|81100497077: Roel Vertegaal|81100505459: Mark Altosaar|81100424154: Nikolaus Troje|81100478137: Derek Johns|
CHI	5	Fluid integration of rotation and translation	60	81100607003: Russell Kruger|81452616781: Sheelagh Carpendale|81100544371: Stacey D. Scott|81100640680: Anthony Tang|
CHI	5	A study on the manipulation of 2D objects in a projector/camera-based augmented reality environment	14	81100147302: Stephen Voida|81100011274: Mark Podlaseck|81100449782: Rick Kjeldsen|81100364954: Claudio Pinhanez|
CHI	5	Exploring technology adoption and use through the lens of residential mobility	13	81100288406: Irina A. Shklovski|81100420884: Scott D. Mainwaring|
CHI	5	Waterbot: exploring feedback and persuasive techniques at the sink	41	81100017972: Ernesto Arroyo|81100186035: Leonardo Bonanni|81100525482: Ted Selker|
CHI	5	Artful systems in the home	88	81100517358: Alex S. Taylor|81100231799: Laurel Swan|
CHI	5	Applying the lessons of the attack on the world trade center, 11th September 2001, to the design and use of interactive evacuation simulations	7	81100451083: C. W. Johnson|
CHI	5	A qualitative cross-national study of cultural influences on mobile data service design	22	81350594298: Boreum Choi|81452593533: Inseong Lee|81406599725: Jinwoo Kim|81414597360: Yunsuk Jeon|
CHI	5	Learning user interest for image browsing on small-form-factor devices	17	81385598345: Xing Xie|81410592346: Hao Liu|81100210119: Simon Goumaz|81350592994: Wei-Ying Ma|
CHI	5	Summary thumbnails: readable overviews for small screen web browsers	62	81316489615: Heidi Lam|81100137268: Patrick Baudisch|
CHI	5	Understanding email use: predicting action on a message	28	81100650586: Laura A. Dabbish|81328489038: Robert E. Kraut|81100583820: Susan Fussell|81100476487: Sara Kiesler|
CHI	5	How to make secure email easier to use	8	81100415667: Simson L. Garfinkel|81100256486: David Margrave|81100243653: Jeffrey I. Schiller|81100299928: Erik Nordlander|81100162232: Robert C. Miller|
CHI	5	Designing human friendly human interaction proofs (HIPs)	29	81100301174: Kumar Chellapilla|81100470644: Kevin Larson|81100027001: Patrice Simard|81100280834: Mary Czerwinski|
CHI	5	Life on the edge: supporting collaboration in location-based experiences	52	81100619971: Steve Benford|81311485174: Duncan Rowland|81100138797: Martin Flintham|81100638532: Adam Drozd|81100351909: Richard Hull|81100283085: Josephine Reid|81100423199: Jo Morrison|81430615966: Keri Facer|
CHI	5	Improving orchestral conducting systems in public spaces: examining the temporal characteristics and conceptual models of conducting gestures	8	81100385689: Eric Lee|81100334933: Marius Wolf|81100443423: Jan Borchers|
CHI	5	Designing the spectator experience	103	81100228688: Stuart Reeves|81100619971: Steve Benford|81409593242: Claire O'Malley|81100364452: Mike Fraser|
CHI	5	Values at play: design tradeoffs in socially-oriented game design	23	81100538614: Mary Flanagan|81100308687: Daniel C. Howe|81100104436: Helen Nissenbaum|
CHI	5	Feature congestion: a measure of display clutter	21	81100414889: Ruth Rosenholtz|81100485034: Yuanzhen Li|81100259124: Jonathan Mansfield|81100054519: Zhenlan Jin|
CHI	5	Improving revisitation in fisheye views with visit wear	20	81100133304: Amy Skopik|81100275704: Carl Gutwin|
CHI	5	Martial arts in artificial reality	31	81100307069: Perttuinen|81100391905: Tommi Ilmonen|81100619329: Johanna Hysniemi|81100574122: Mikko Lindholm|81100535232: Ari Nyknen|
CHI	5	Spotlight: directing users' attention on large displays	22	81100345201: Azam Khan|81100153192: Justin Matejka|81100585120: George Fitzmaurice|81332510496: Gordon Kurtenbach|
CHI	5	MultiView: spatially faithful group video conferencing	22	81410594440: David Nguyen|81100415489: John Canny|
CHI	5	Less visible and wireless: two experiments on the effects of microphone type on users' performance and perception	4	81100212554: QianYing Wang|81100153283: Clifford Nass|
CHI	5	Children and emerging wireless technologies: investigating the potential for spatial practice	12	81100006469: Morris Williams|81100554724: Owain Jones|81100524289: Constance Fleuriot|81100373510: Lucy Wood|
CHI	5	Testing the media equation with children	5	81332493266: Sonia Chiasson|81100275704: Carl Gutwin|
CHI	5	Camera talk: making the camera a partial participant	3	81100168814: K. K. Lamberty|81452618006: Janet L. Kolodner|
CHI	5	The syntax or the story behind it?: a usability study of student work with computer-based programming environments in elementary science	0	81100584026: Loucas Louca|
CHI	5	Extending tangible interfaces for education: digital montessori-inspired manipulatives	73	81100224720: Oren Zuckerman|81100463111: Saeed Arida|81331502299: Mitchel Resnick|
CHI	5	Effectiveness of end-user debugging software features: are there gender issues?	31	81100022759: Laura Beckwith|81100337865: Margaret Burnett|81100387125: Susan Wiedenbeck|81452601376: Curtis Cook|81100522442: Shraddha Sorte|81100061557: Michelle Hastings|
CHI	5	Patterns of media use in an activity-centric collaborative environment	10	81100086599: David R. Millen|81332517372: Michael J. Muller|81100543332: Werner Geyer|81338491410: Eric Wilcox|81100297942: Beth Brownholtz|
CHI	5	Assessing differential usage of usenet social accounting meta-data	11	81332491415: A.J. Bernheim Brush|81100219062: Xiaoqing Wang|81100229167: Tammara Combs Turner|81100077378: Marc A. Smith|
CHI	5	When participants do the capturing: the role of media in diary studies	57	81405594119: Scott Carter|81100650762: Jennifer Mankoff|
CHI	5	Using context-aware computing to reduce the perceived burden of interruptions from mobile devices	57	81100317467: Joyce Ho|81100009538: Stephen S. Intille|
CHI	5	Interaction in 4-second bursts: the fragmented nature of attentional resources in mobile HCI	125	81100333050: Antti Oulasvirta|81100452612: Sakari Tamminen|81100443285: Virpi Roto|81100519153: Jaana Kuorelahti|
